name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua New Guinea,2022-02-07,32,24,27.3,39.3,24,29.7,23.6,81.5,0.2,100,8.33,rain,0,0,18.4,27.7,328.1,1008.7,63.8,13.2,258.6,22.4,9,10,2022-02-07T06:11:16,2022-02-07T18:39:15,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-08,33,24,28,38.1,24,30.7,23.6,78.6,0,0,0,rain,0,0,12.6,22.3,219.6,1007.8,46.2,13.7,308.2,26.4,10,30,2022-02-08T06:11:33,2022-02-08T18:39:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-09,34,24,28.4,42,24,31.8,24.1,78.7,0.3,100,4.17,rain,0,0,22,27.7,160.3,1007.4,46.8,14.6,293.5,25.3,10,30,2022-02-09T06:11:49,2022-02-09T18:38:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-10,33,23,28,40.7,23,31.1,24,80.3,0.2,100,4.17,rain,0,0,37.1,27.7,151.7,1007.2,39,12.4,297.9,25.7,10,60,2022-02-10T06:12:05,2022-02-10T18:38:40,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-11,32,21,26.8,35.8,21,27.9,21.1,72.7,0,0,0,,0,0,37.1,31.7,156.5,1007,51.1,16.9,321,27.4,10,10,2022-02-11T06:12:20,2022-02-11T18:38:26,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-12,31,22,26.5,35.5,22,28,22,77.9,0,0,0,,0,0,27.7,27.7,204.8,1006.8,52,12.9,309.9,26.8,10,10,2022-02-12T06:12:34,2022-02-12T18:38:12,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-13,32.2,22,27.3,36.8,22,29.4,22.5,76.7,5,100,4.17,rain,0,0,37.1,37.1,150.1,1006.7,39.2,13.8,321.5,27.6,10,10,2022-02-13T06:12:47,2022-02-13T18:37:56,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-14,32,24.2,27.5,38,24.2,29.6,23,77.6,0.9,100,12.5,rain,0,0,31.7,22.3,151.6,1007.4,58.1,14,301.6,26.1,10,10,2022-02-14T06:13:00,2022-02-14T18:37:40,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-15,32,23,27.1,38,23,29.4,23.7,82.9,0.2,100,4.17,rain,0,0,27.7,27.7,290.2,1006.5,63.5,13,263.5,22.8,10,10,2022-02-15T06:13:12,2022-02-15T18:37:23,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,remote,AYPY"
Papua New Guinea,2022-02-16,33,23,27.3,39.3,23,29.7,23.6,82.1,1,100,4.17,rain,0,0,37.1,24,310.1,1005.1,59.4,13.2,263.8,22.7,10,10,2022-02-16T06:13:24,2022-02-16T18:37:05,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"92035099999,AYPY"
